Date,Close,High,Low,Open,Volume,Log_Ret,Volatilidad,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,SMA_50,SMA_200,MA_short,MA_long,signal,signal_change,ret,strategy_ret,cum_strategy,cum_buyhold
2020-01-02,9691.2001953125,9705.400390625,9615.099609375,9639.099609375,142379600,0.01476087559459533,0.007711876805131747,62.37748446771103,91.00745251607441,3.967993179572545,87.03945933650186,9399.66603515625,9213.933496093749,9691.2001953125,9691.2001953125,0,0.0,0.0,0.0,1.0,1.0
2020-01-03,9646.599609375,9650.7001953125,9581.2001953125,9631.2001953125,135130000,-0.004612796230367542,0.007811314886834122,58.91824851741636,88.03308574917355,0.7949011301373332,87.23818461903622,9404.994023437499,9215.38849609375,9668.89990234375,9668.89990234375,0,0.0,-0.004602173625416706,-0.0,1.0,0.9953978263745833
2020-01-06,9600.900390625,9618.2001953125,9492.7001953125,9585.400390625,103520400,-0.004748596401947969,0.007445295511330241,55.52074062286894,81.05399364406003,-4.94735277998096,86.00134642404099,9409.31203125,9217.39599609375,9646.2333984375,9646.2333984375,0,0.0,-0.004737339643037242,-0.0,1.0,0.9906822887911059
2020-01-07,9579.7998046875,9657.900390625,9557.900390625,9623.099609375,133476100,-0.0022001902156519857,0.007421908216960677,53.97314049000771,72.97911412915346,-10.417785835910024,83.39689996506348,9413.072031250002,9219.39549316406,9629.625,9629.625,0,0.0,-0.002197771571310514,-0.0,1.0,0.9885049954206
2020-01-08,9591.400390625,9604.2998046875,9520.2998046875,9535.099609375,133957600,0.001210209818391611,0.006743546907210424,54.72040801014738,66.746373625263,-13.3204210718404,80.0667946971034,9416.296035156252,9221.436997070312,9621.980078125,9621.980078125,0,0.0,0.0012109424177970673,0.0,1.0,0.9897020180497591
2020-01-09,9581.7998046875,9644.7998046875,9573.7998046875,9629.2001953125,151793500,-0.0010014589783746742,0.006694241127070924,53.939899942408786,60.33667123403393,-15.784098770455586,76.12077000448951,9419.27203125,9223.196494140624,9615.283365885416,9615.283365885416,0,0.0,-0.0010009576856873093,-0.0,1.0,0.988711368208252
2020-01-10,9573.599609375,9623.599609375,9557.900390625,9611.2998046875,132894500,-0.0008561759153297273,0.006618869879248567,53.24136459365961,53.97308060362411,-17.71815152069233,71.69123212431644,9422.74203125,9225.190991210937,9609.328543526786,9609.328543526786,0,0.0,-0.0008558095013098121,-0.0,1.0,0.9878652196252864
2020-01-13,9543.900390625,9586.599609375,9507.400390625,9586.599609375,124149000,-0.0031070215919430867,0.006516126789159011,50.681408932925656,46.003115159814115,-20.550493571601862,66.55360873141598,9427.930039062501,9226.708994140625,9601.150024414062,9601.150024414062,0,0.0,-0.003102199795458005,-0.0,1.0,0.9848006643430247
2020-01-14,9528.2998046875,9548.400390625,9466.0,9548.099609375,143774600,-0.0016359506776465072,0.00630484542887143,49.33939310867936,37.99009702894,-22.850809361980787,60.840906390920786,9433.34603515625,9227.641992187499,9593.055555555555,9593.055555555555,0,0.0,-0.0016346132397635493,-0.0,1.0,0.9831908961385617
2020-01-15,9511.7001953125,9530.2001953125,9475.0,9521.2001953125,161995000,-0.001743656888729355,0.005888089335481503,47.88640249062489,29.954970428922024,-24.708748769599012,54.663719198521036,9437.0200390625,9228.382993164061,9584.92001953125,9584.92001953125,0,0.0,-0.0017421376022229706,-0.0,1.0,0.9814780423082354
